Filename,Duration_sec,Frame_Count
Tegnspråknytt - 16. april.mp4,218.6,10930
Tegnspråknytt - 21. januar.mp4,232.0,11600
Tegnspråknytt - 4. september.mp4,244.6,12230
Tegnspråknytt - 2. april.mp4,253.52,12676
Tegnspråknytt - 13. juni.mp4,253.72,12686
Tegnspråknytt - 10. juli.mp4,242.52,12126
Tegnspråknytt - 16. oktober.mp4,241.52,12076
Tegnspråknytt - 18. mars.mp4,231.6,11580
Tegnspråknytt - 12. september.mp4,251.44,12572
Tegnspråknytt - 3. oktober.mp4,247.56,12378
Tegnspråknytt - 31. juli.mp4,244.48,12224
Tegnspråknytt - 13. januar.mp4,277.52,13876
Tegnspråknytt - 25. juli.mp4,240.68,12034
Tegnspråknytt - 7. mars.mp4,294.52,14726
Tegnspråknytt - 11. desember 2024.mp4,263.56,13178
Tegnspråknytt - 18. februar.mp4,290.6,14530
Tegnspråknytt - 26. juni.mp4,230.6,11530
Tegnspråknytt - 3. september.mp4,244.56,12228
Tegnspråknytt - 20. mars.mp4,230.48,11524
Tegnspråknytt - 28. januar.mp4,263.52,13176
Tegnspråknytt - 2. juli.mp4,248.52,12426
Tegnspråknytt - 27. november 2024.mp4,274.56,13728
Tegnspråknytt - 7. januar.mp4,242.6,12130
Tegnspråknytt - 6. desember 2024.mp4,241.6,12080
Tegnspråknytt - 15. september.mp4,293.44,14672
Tegnspråknytt - 20. oktober.mp4,267.8,13390
Tegnspråknytt - 28. juli.mp4,247.56,12378
Tegnspråknytt - 30. april.mp4,235.64,11782
Tegnspråknytt - 27. oktober.mp4,297.64,14882
Tegnspråknytt - 25. august.mp4,249.64,12482
Tegnspråknytt - 12. august.mp4,244.6,12230
Tegnspråknytt - 2. oktober.mp4,251.68,12584
Tegnspråknytt - 29. april.mp4,252.88,12644
Tegnspråknytt - 20. juni.mp4,243.88,12194
Tegnspråknytt - 23. juli.mp4,259.52,12976
Tegnspråknytt - 19. februar.mp4,236.4,11820
Tegnspråknytt - 5. desember 2024.mp4,241.64,12082
Tegnspråknytt - 20. august.mp4,243.4,12170
Tegnspråknytt - 2. september.mp4,249.48,12474
Tegnspråknytt - 9. juli.mp4,246.72,12336
Tegnspråknytt - 31. januar.mp4,236.6,11830
Tegnspråknytt - 17. oktober.mp4,244.84,12242
Tegnspråknytt - 16. juli.mp4,238.64,11932
Tegnspråknytt - 10. oktober.mp4,238.56,11928
Tegnspråknytt - 2. januar.mp4,259.6,12980
Tegnspråknytt - 29. november 2024.mp4,238.72,11936
Tegnspråknytt - 14. november 2024.mp4,256.56,12828
Tegnspråknytt - 7. april.mp4,265.56,13278
Tegnspråknytt - 19. november 2024.mp4,268.44,13422
Tegnspråknytt - 13. mars.mp4,246.6,12330
Tegnspråknytt - 6. august.mp4,255.56,12778
Tegnspråknytt - 12. desember 2024.mp4,247.48,12374
Tegnspråknytt - 5. mai.mp4,242.64,12132
Tegnspråknytt - 24. april.mp4,246.56,12328
Tegnspråknytt - 5. september.mp4,244.56,12228
Tegnspråknytt - 21. oktober.mp4,288.56,14428
Tegnspråknytt - 24. januar.mp4,261.52,13076
Tegnspråknytt - 30. desember.mp4,243.52,12176
Tegnspråknytt - 4. juli.mp4,242.64,12132
Tegnspråknytt - 26. mars.mp4,290.8,14540
Tegnspråknytt - 27. desember.mp4,247.6,12380
Tegnspråknytt - 29. august.mp4,245.48,12274
Tegnspråknytt - 18. juni.mp4,230.0,11500
Tegnspråknytt - 28. februar.mp4,257.56,12878
Tegnspråknytt - 15. januar.mp4,260.64,13032
Tegnspråknytt - 8. mai.mp4,237.64,11882
Tegnspråknytt - 9. mai.mp4,246.64,12332
Tegnspråknytt - 12. juni.mp4,243.48,12174
Tegnspråknytt - 8. januar.mp4,262.52,13126
Tegnspråknytt - 19. desember 2024.mp4,261.52,13076
Tegnspråknytt - 12. november 2024.mp4,243.52,12176
Tegnspråknytt - 11. juli.mp4,263.52,13176
Tegnspråknytt - 11. september.mp4,261.6,13080
Tegnspråknytt - 25. februar.mp4,243.56,12178
Tegnspråknytt - 24. juli.mp4,278.56,13928
Tegnspråknytt - 14. april.mp4,245.4,12270
Tegnspråknytt - 6. mars.mp4,261.6,13080
Tegnspråknytt - 23. april.mp4,281.52,14076
Tegnspråknytt - 27. januar.mp4,241.8,12090
Tegnspråknytt - 27. juni.mp4,265.56,13278
Tegnspråknytt - 18. august.mp4,239.68,11984
Tegnspråknytt - 19. september.mp4,265.44,13272
Tegnspråknytt - 19. mars.mp4,268.6,13430
Tegnspråknytt - 30. juli.mp4,238.48,11924
Tegnspråknytt - 5. august.mp4,246.56,12328
Tegnspråknytt - 3. desember 2024.mp4,236.52,11826
Tegnspråknytt - 8. september.mp4,221.64,11082
Tegnspråknytt - 6. februar.mp4,273.6,13680
Tegnspråknytt - 2. mai.mp4,242.36,12118
Tegnspråknytt - 8. november 2024.mp4,251.84,12592
Tegnspråknytt - 21. mars.mp4,234.48,11724
Tegnspråknytt - 16. september.mp4,244.64,12232
Tegnspråknytt - 3. juli.mp4,263.56,13178
Tegnspråknytt - 5. november 2024.mp4,290.56,14528
Tegnspråknytt - 8. oktober.mp4,248.68,12434
Tegnspråknytt - 13. februar.mp4,225.56,11278
Tegnspråknytt - 29. juli.mp4,227.4,11370
Tegnspråknytt - 22. november 2024.mp4,252.64,12632
Tegnspråknytt - 14. mars.mp4,247.52,12376
Tegnspråknytt - 14. februar.mp4,246.56,12328
Tegnspråknytt - 11. august.mp4,236.44,11822
Tegnspråknytt - 22. mai.mp4,288.64,14432
Tegnspråknytt - 22. juli.mp4,207.52,10376
Tegnspråknytt - 26. august.mp4,240.44,12022
Tegnspråknytt - 23. mai.mp4,236.52,11826
Tegnspråknytt - 21. november 2024.mp4,265.32,13266
Tegnspråknytt - 14. august.mp4,231.48,11574
Tegnspråknytt - 1. september.mp4,250.56,12528
Tegnspråknytt - 9. september.mp4,248.52,12426
Tegnspråknytt - 17. september.mp4,253.56,12678
Tegnspråknytt - 17. juli.mp4,251.44,12572
Tegnspråknytt - 6. november 2024.mp4,266.6,13330
Tegnspråknytt - 24. februar.mp4,282.88,14144
Tegnspråknytt - 8. juli.mp4,247.48,12374
Tegnspråknytt - 8. april.mp4,271.56,13578
Tegnspråknytt - 9. oktober.mp4,237.56,11878
Tegnspråknytt - 18. september.mp4,289.56,14478
Tegnspråknytt - 12. februar.mp4,263.56,13178
Tegnspråknytt - 28. mai.mp4,268.8,13440
Tegnspråknytt - 12. mars.mp4,248.56,12428
Tegnspråknytt - 10. januar.mp4,243.36,12168
Tegnspråknytt - 19. juni.mp4,248.52,12426
Tegnspråknytt - 7. februar.mp4,245.56,12278
Tegnspråknytt - 17. desember 2024.mp4,253.04,12652
Tegnspråknytt - 16. mai.mp4,246.56,12328
Tegnspråknytt - 11. april.mp4,247.56,12378
Tegnspråknytt - 27. mars.mp4,242.52,12126
Tegnspråknytt - 22. januar.mp4,270.76,13538
Tegnspråknytt - 6. juni.mp4,282.8,14140
Tegnspråknytt - 10. september.mp4,247.56,12378
Tegnspråknytt - 28. august.mp4,247.64,12382
Tegnspråknytt - 11. november 2024.mp4,229.56,11478
Tegnspråknytt - 30. juni.mp4,255.4,12770
Tegnspråknytt - 5. mars.mp4,248.68,12434
Tegnspråknytt - 7. november 2024.mp4,241.96,12098
Tegnspråknytt - 7. mai.mp4,240.64,12032
Tegnspråknytt - 17. januar.mp4,236.48,11824
Tegnspråknytt - 28. april.mp4,258.6,12930
Tegnspråknytt - 24. juni.mp4,246.88,12344
Tegnspråknytt - 7. august.mp4,244.56,12228
Tegnspråknytt - 28. oktober.mp4,251.36,12568
Tegnspråknytt - 21. februar.mp4,245.44,12272
Tegnspråknytt - 26. februar.mp4,250.56,12528
Tegnspråknytt - 20. november 2024.mp4,279.56,13978
Tegnspråknytt - 24. september.mp4,262.56,13128
Tegnspråknytt - 11. juni.mp4,270.92,13546
Tegnspråknytt - 30. januar.mp4,246.6,12330
Tegnspråknytt - 25. april.mp4,243.6,12180
Tegnspråknytt - 17. mars.mp4,304.52,15226
Tegnspråknytt - 10. februar.mp4,228.64,11432
Tegnspråknytt - 16. desember 2024.mp4,247.96,12398
Tegnspråknytt - 21. august.mp4,242.52,12126
Tegnspråknytt - 3. januar.mp4,239.56,11978
Tegnspråknytt - 17. februar.mp4,314.56,15728
Tegnspråknytt - 30. mai.mp4,244.64,12232
Tegnspråknytt - 3. juni.mp4,246.4,12320
Tegnspråknytt - 13. august.mp4,246.56,12328
Tegnspråknytt - 23. september.mp4,255.56,12778
Tegnspråknytt - 5. februar.mp4,245.72,12286
Tegnspråknytt - 6. januar.mp4,268.76,13438
Tegnspråknytt - 27. februar.mp4,246.44,12322
Tegnspråknytt - 3. april.mp4,256.68,12834
Tegnspråknytt - 20. februar.mp4,238.6,11930
Tegnspråknytt - 14. juli.mp4,242.36,12118
Tegnspråknytt - 17. juni.mp4,247.76,12388
Tegnspråknytt - 29. januar.mp4,255.92,12796
Tegnspråknytt - 18. desember 2024.mp4,247.56,12378
Tegnspråknytt - 13. november 2024.mp4,271.6,13580
Tegnspråknytt - 29. oktober.mp4,256.52,12826
Tegnspråknytt - 21. juli.mp4,252.52,12626
Tegnspråknytt - 3. mars.mp4,254.4,12720
Tegnspråknytt - 13. mai.mp4,266.48,13324
Tegnspråknytt - 12. mai.mp4,305.56,15278
Tegnspråknytt - 26. mai.mp4,275.56,13778
Tegnspråknytt - 24. mars.mp4,263.48,13174
Tegnspråknytt - 27. mai.mp4,241.56,12078
Tegnspråknytt - 4. februar.mp4,249.56,12478
Tegnspråknytt - 5. juni.mp4,236.4,11820
Tegnspråknytt - 30. september.mp4,254.64,12732
Tegnspråknytt - 3. februar.mp4,233.56,11678
Tegnspråknytt - 25. september.mp4,247.56,12378
Tegnspråknytt - 19. mai.mp4,282.44,14122
Tegnspråknytt - 11. mars.mp4,244.56,12228
Tegnspråknytt - 11. februar.mp4,247.64,12382
Tegnspråknytt - 2. desember 2024.mp4,221.4,11070
Tegnspråknytt - 20. januar.mp4,251.52,12576
Tegnspråknytt - 4. november 2024.mp4,233.56,11678
Tegnspråknytt - 23. desember 2024.mp4,247.56,12378
Tegnspråknytt - 4. mars.mp4,277.56,13878
Tegnspråknytt - 1. august.mp4,247.56,12378
Tegnspråknytt - 25. juni.mp4,253.36,12668
Tegnspråknytt - 25. november 2024.mp4,238.6,11930
Tegnspråknytt - 10. juni.mp4,220.56,11028
Tegnspråknytt - 28. november 2024.mp4,269.56,13478
Tegnspråknytt - 23. januar.mp4,264.68,13234
Tegnspråknytt - 9. april.mp4,241.56,12078
Tegnspråknytt - 7. oktober.mp4,316.56,15828
Tegnspråknytt - 15. oktober.mp4,295.56,14778
Tegnspråknytt - 9. desember 2024.mp4,252.56,12628
Tegnspråknytt - 15. mai.mp4,259.44,12972
Tegnspråknytt - 14. mai.mp4,240.56,12028
Tegnspråknytt - 8. august.mp4,239.56,11978
Tegnspråknytt - 4. desember 2024.mp4,244.48,12224
Tegnspråknytt - 23. oktober.mp4,253.44,12672
Tegnspråknytt - 24. oktober.mp4,274.68,13734
Tegnspråknytt - 15. august.mp4,249.52,12476
Tegnspråknytt - 21. mai.mp4,261.64,13082
Tegnspråknytt - 15. november 2024.mp4,249.72,12486
Tegnspråknytt - 10. april.mp4,258.52,12926
Tegnspråknytt - 27. august.mp4,262.56,13128
Tegnspråknytt - 18. november 2024.mp4,232.52,11626
Tegnspråknytt - 4. april.mp4,249.84,12492
Tegnspråknytt - 31. oktober.mp4,263.6,13180
Tegnspråknytt - 2. juni.mp4,305.56,15278
Tegnspråknytt - 1. juli.mp4,248.52,12426
Tegnspråknytt - 15. juli.mp4,224.4,11220
Tegnspråknytt - 13. desember 2024.mp4,304.4,15220
Tegnspråknytt - 16. juni.mp4,242.6,12130
Tegnspråknytt - 14. oktober.mp4,296.8,14840
Tegnspråknytt - 13. oktober.mp4,303.68,15184
Tegnspråknytt - 28. mars.mp4,303.8,15190
Tegnspråknytt - 10. desember 2024.mp4,233.24,11662
Tegnspråknytt - 1. april.mp4,238.52,11926
Tegnspråknytt - 29. september.mp4,273.68,13684
Tegnspråknytt - 23. juni.mp4,246.36,12318
Tegnspråknytt - 15. april.mp4,242.56,12128
Tegnspråknytt - 6. oktober.mp4,273.88,13694
Tegnspråknytt - 22. april.mp4,281.52,14076
Tegnspråknytt - 1. oktober.mp4,250.88,12544
Tegnspråknytt - 18. juli.mp4,239.64,11982
Tegnspråknytt - 22. august.mp4,241.52,12076
Tegnspråknytt - 31. mars.mp4,254.56,12728
Tegnspråknytt - 1. november 2024.mp4,259.44,12972
Tegnspråknytt - 30. oktober.mp4,239.56,11978
Tegnspråknytt - 25. mars.mp4,278.68,13934
Tegnspråknytt - 7. juli.mp4,258.52,12926
Tegnspråknytt - 4. august.mp4,268.52,13426
Tegnspråknytt - 19. august.mp4,237.44,11872
Tegnspråknytt - 4. juni.mp4,243.44,12172
Tegnspråknytt - 9. januar.mp4,230.84,11542
Tegnspråknytt - 22. oktober.mp4,261.48,13074
Tegnspråknytt - 20. desember 2024.mp4,250.48,12524
Tegnspråknytt - 26. september.mp4,281.6,14080
Tegnspråknytt - 14. januar.mp4,265.56,13278
Tegnspråknytt - 10. mars.mp4,269.36,13468
Tegnspråknytt - 26. november 2024.mp4,255.6,12780
